Lyft Distance,cab_type,time_stamp,destination,source,Lyft Price,Lyft Surge Multiplier,id,product_id,name
0.44,Lyft,1.54E+12,North Station,Haymarket Square,5,1,424553bb-7174-41ea-aeb4-fe06d4f4b9d7,lyft_line,Shared
0.44,Lyft,1.54E+12,North Station,Haymarket Square,11,1,4bd23055-6827-41c6-b23b-3c491f24e74d,lyft_premier,Lux
0.44,Lyft,1.54E+12,North Station,Haymarket Square,7,1,981a3613-77af-4620-a42a-0c0866077d1e,lyft,Lyft
0.44,Lyft,1.54E+12,North Station,Haymarket Square,26,1,c2d88af2-d278-4bfd-a8d0-29ca77cc5512,lyft_luxsuv,Lux Black XL
0.44,Lyft,1.54E+12,North Station,Haymarket Square,9,1,e0126e1f-8ca9-4f2e-82b3-50505a09db9a,lyft_plus,Lyft XL
0.44,Lyft,1.55E+12,North Station,Haymarket Square,16.5,1,f6f6d7e4-3e18-4922-a5f5-181cdd3fa6f2,lyft_lux,Lux Black
1.08,Lyft,1.54E+12,Northeastern University,Back Bay,10.5,1,462816a3-820d-408b-8549-0b39e82f65ac,lyft_plus,Lyft XL
1.08,Lyft,1.54E+12,Northeastern University,Back Bay,16.5,1,474d6376-bc59-4ec9-bf57-4e6d6faeb165,lyft_lux,Lux Black
1.08,Lyft,1.54E+12,Northeastern University,Back Bay,3,1,4f9fee41-fde3-4767-bbf1-a00e108701fb,lyft_line,Shared
1.08,Lyft,1.54E+12,Northeastern University,Back Bay,27.5,1,8612d909-98b8-4454-a093-30bd48de0cb3,lyft_luxsuv,Lux Black XL
1.08,Lyft,1.54E+12,Northeastern University,Back Bay,13.5,1,9043bf77-1d45-4a93-9520-a083e0277f16,lyft_premier,Lux
1.08,Lyft,1.54E+12,Northeastern University,Back Bay,7,1,d859ec69-b3ff-4af8-9abd-441e31430c94,lyft,Lyft
0.72,Lyft,1.54E+12,Haymarket Square,North Station,11,1,18d580ac-c91a-4b6d-aa75-ab62566f713e,lyft_plus,Lyft XL
0.72,Lyft,1.54E+12,Haymarket Square,North Station,16.5,1,3ef5c509-f292-42ef-b39c-bce7059006a0,lyft_lux,Lux Black
0.72,Lyft,1.55E+12,Haymarket Square,North Station,7,1,5ef44fdf-c5d3-4d07-967a-a8710e537e74,lyft,Lyft
0.72,Lyft,1.54E+12,Haymarket Square,North Station,3.5,1,a7c1afce-9781-41c9-b6a6-df109ad43ccd,lyft_line,Shared
0.72,Lyft,1.54E+12,Haymarket Square,North Station,26,1,d0782aae-4cfa-45df-b6e4-e300b09c2563,lyft_luxsuv,Lux Black XL
0.72,Lyft,1.54E+12,Haymarket Square,North Station,13.5,1,f4f03d2d-434b-41f3-935a-c29e3f2de8bd,lyft_premier,Lux
3.24,Lyft,1.54E+12,Northeastern University,North Station,3.5,1,00dd58fc-fa9e-4eeb-bb6e-dfeb94611e85,lyft_line,Shared
3.24,Lyft,1.54E+12,Northeastern University,North Station,11,1,174b960d-58f1-4dfd-8672-8b43f13726a7,lyft,Lyft
3.24,Lyft,1.54E+12,Northeastern University,North Station,19.5,1,1d34b421-4ee7-4ec5-bba5-265f43b91a4e,lyft_premier,Lux
3.24,Lyft,1.54E+12,Northeastern University,North Station,26,1,72fb8672-a823-447e-ae15-fd51aef9db66,lyft_lux,Lux Black
3.24,Lyft,1.54E+12,Northeastern University,North Station,16.5,1,e61386a3-b205-49b4-b064-990b124ecfa2,lyft_plus,Lyft XL
1.76,Lyft,1.54E+12,South Station,North Station,5,1,0c26c153-a58d-419d-b557-37cfad67585c,lyft_line,Shared
1.76,Lyft,1.54E+12,South Station,North Station,9,1,104ced5c-1c1b-4021-94bb-b21af453399a,lyft,Lyft
1.76,Lyft,1.54E+12,South Station,North Station,16.5,1,1cf8a0a5-d871-41ba-91c7-53658851501e,lyft_premier,Lux
1.76,Lyft,1.54E+12,South Station,North Station,26,1,5e990c7a-8f5c-4583-812c-b6200dd018f6,lyft_luxsuv,Lux Black XL
1.76,Lyft,1.54E+12,South Station,North Station,13.5,1,bd1d5b1a-ed7f-4fc8-8fd1-9236a5de403e,lyft_plus,Lyft XL
1.76,Lyft,1.54E+12,South Station,North Station,19.5,1,c7a2284b-2f7b-49a8-8d5b-90e1ebe18a1f,lyft_lux,Lux Black
0.71,Lyft,1.54E+12,West End,Haymarket Square,7,1,2e0059db-945e-4615-9f87-46b8966d62f2,lyft,Lyft
0.71,Lyft,1.54E+12,West End,Haymarket Square,9,1,77667337-1484-497d-a0d2-2844126c2517,lyft_plus,Lyft XL
0.71,Lyft,1.54E+12,West End,Haymarket Square,10.5,1,c03b25ba-1d74-4522-8f3b-feb4bebcb4c7,lyft_premier,Lux
0.71,Lyft,1.54E+12,West End,Haymarket Square,3,1,fa00bcf3-78f7-4b62-b133-c3190a85edab,lyft_line,Shared
1.23,Lyft,1.54E+12,Theatre District,Haymarket Square,5,1,33d90ba7-60f5-4da1-afc3-39d4d038f7ec,lyft_line,Shared
1.23,Lyft,1.54E+12,Theatre District,Haymarket Square,13.5,1,6c936f6d-c587-49ae-bb39-5aeb54eff756,lyft_premier,Lux
1.23,Lyft,1.54E+12,Theatre District,Haymarket Square,11,1,8b905a5a-c626-42a6-b23b-eae7c7b689a3,lyft_plus,Lyft XL
1.23,Lyft,1.54E+12,Theatre District,Haymarket Square,26,1,c8c093f0-960b-4668-b1f6-1e42dcf6bd6b,lyft_luxsuv,Lux Black XL
1.23,Lyft,1.54E+12,Theatre District,Haymarket Square,16.5,1,ee029d73-c9ad-463d-a15e-ba20fac8c292,lyft_lux,Lux Black
1.23,Lyft,1.54E+12,Theatre District,Haymarket Square,7,1,f76a05b7-60a7-4df5-94b9-de16881691ca,lyft,Lyft
1.16,Lyft,1.54E+12,Beacon Hill,Haymarket Square,7,1,09740fbe-a03b-48df-a25a-6a01d4fc30e7,lyft,Lyft
1.16,Lyft,1.54E+12,Beacon Hill,Haymarket Square,13.5,1,2ff1a200-7c68-4813-9141-af7eeb93b37d,lyft_plus,Lyft XL
1.16,Lyft,1.54E+12,Beacon Hill,Haymarket Square,26,1,395294c8-4b2b-4cde-aaf9-3ac478cfddc3,lyft_luxsuv,Lux Black XL
1.16,Lyft,1.54E+12,Beacon Hill,Haymarket Square,13.5,1,59481bfd-d72d-4d6d-af73-8006fc872948,lyft_premier,Lux
1.16,Lyft,1.55E+12,Beacon Hill,Haymarket Square,5,1,aa1f01a1-f54a-4978-b266-a14f877baad1,lyft_line,Shared
1.16,Lyft,1.54E+12,Beacon Hill,Haymarket Square,16.5,1,b4d6e3a6-8fce-4863-9674-e3abb49c53db,lyft_lux,Lux Black
2.82,Lyft,1.54E+12,West End,Fenway,22.5,1,60f7fd10-aa55-42a8-9b19-2f8bb457459b,lyft_lux,Lux Black
2.82,Lyft,1.55E+12,West End,Fenway,16.5,1,7827cd75-7987-4f1b-a012-ab92c820c6c4,lyft_plus,Lyft XL
2.82,Lyft,1.54E+12,West End,Fenway,10.5,1,ea5d697f-425a-421c-a680-20bc8b36384e,lyft,Lyft
2.82,Lyft,1.54E+12,West End,Fenway,32.5,1,fbe5b6f4-7771-4fed-93d9-350febdc20c2,lyft_luxsuv,Lux Black XL
2.82,Lyft,1.54E+12,West End,Fenway,19.5,1,fbe75666-8d95-404f-a2d2-56c1f94eb99a,lyft_premier,Lux
2.82,Lyft,1.54E+12,West End,Fenway,7,1,ff49381b-9947-4a40-b100-ca58020e0dbe,lyft_line,Shared
1.75,Lyft,1.54E+12,Haymarket Square,Theatre District,22.5,1,175688b5-eef3-411f-8240-9a1c350571fb,lyft_lux,Lux Black
1.75,Lyft,1.54E+12,Haymarket Square,Theatre District,7,1,4e562e2e-a33b-4b23-8520-04993ae604c4,lyft_line,Shared
1.75,Lyft,1.54E+12,Haymarket Square,Theatre District,13.5,1,70cdb7c1-c32f-472d-a3e4-08fb85fadce7,lyft_plus,Lyft XL
1.75,Lyft,1.54E+12,Haymarket Square,Theatre District,16.5,1,7c77ccb6-4675-4924-a223-be3481568077,lyft_premier,Lux
1.75,Lyft,1.54E+12,Haymarket Square,Theatre District,27.5,1,c5befa48-631f-4d99-b936-72b01743fe22,lyft_luxsuv,Lux Black XL
1.75,Lyft,1.55E+12,Haymarket Square,Theatre District,9,1,e31be055-d8b8-4cfe-9387-7939258f2f72,lyft,Lyft
2.36,Lyft,1.54E+12,Fenway,Beacon Hill,9,1,0b521d97-1529-4012-8e46-cb6fffd2751d,lyft,Lyft
2.36,Lyft,1.54E+12,Fenway,Beacon Hill,30,1,12fa8f8a-9c69-43e0-b604-4206fd4df703,lyft_luxsuv,Lux Black XL
2.36,Lyft,1.54E+12,Fenway,Beacon Hill,16.5,1,1aa04d78-8630-4f30-be6a-0bec07eeabd6,lyft_premier,Lux
2.36,Lyft,1.54E+12,Fenway,Beacon Hill,13.5,1,6bbc0189-5faa-4e8e-9dd8-fb36d9848cab,lyft_plus,Lyft XL
2.36,Lyft,1.54E+12,Fenway,Beacon Hill,22.5,1,7eca01e2-0c21-4336-9218-741b274d26a7,lyft_lux,Lux Black
2.36,Lyft,1.54E+12,Fenway,Beacon Hill,7,1,a9847c3d-2766-4908-80e1-c96667268463,lyft_line,Shared
1.02,Lyft,1.54E+12,North End,North Station,13.5,1,0dabfd02-5bf7-4cf0-94be-a10d1b3bba9a,lyft_premier,Lux
1.02,Lyft,1.54E+12,North End,North Station,26,1,8f06de18-0c51-4021-a601-963d4d04ac5c,lyft_luxsuv,Lux Black XL
1.02,Lyft,1.54E+12,North End,North Station,16.5,1,d0af528b-c6f7-4d83-a0b7-cd02eb17f880,lyft_lux,Lux Black
1.02,Lyft,1.54E+12,North End,North Station,11,1,d2bac749-6eef-4325-9f28-de2db6c8449c,lyft_plus,Lyft XL
1.17,Lyft,1.54E+12,Haymarket Square,Financial District,16.5,1,2012f0d4-7227-4bd1-9cb9-8555a0ec7b7f,lyft_lux,Lux Black
1.17,Lyft,1.54E+12,Haymarket Square,Financial District,13.5,1,784dc2b4-b454-4f58-8865-043a1f2f9e4c,lyft_premier,Lux
1.17,Lyft,1.54E+12,Haymarket Square,Financial District,5,1,83b8d4f4-516a-48ee-9c1c-6d358ba9e4b7,lyft_line,Shared
1.17,Lyft,1.54E+12,Haymarket Square,Financial District,27.5,1,9e502957-dbc0-4296-af7e-fd01a295fffb,lyft_luxsuv,Lux Black XL
1.17,Lyft,1.54E+12,Haymarket Square,Financial District,7,1,c4e49271-0f00-4743-a2c5-95ec39b83fde,lyft,Lyft
1.17,Lyft,1.54E+12,Haymarket Square,Financial District,10.5,1,f91aa276-39be-4562-a9bb-d47a4caf9b27,lyft_plus,Lyft XL
1.4,Lyft,1.54E+12,Fenway,Back Bay,7,1,2382ce6b-74f7-4879-b00b-80e2c995f779,lyft,Lyft
1.4,Lyft,1.54E+12,Fenway,Back Bay,3,1,5cb71089-07a9-4ff9-9afb-54080d512da0,lyft_line,Shared
1.4,Lyft,1.54E+12,Fenway,Back Bay,13.5,1,65a3dd83-4773-4172-93e2-2620dc42e92e,lyft_premier,Lux
1.4,Lyft,1.54E+12,Fenway,Back Bay,16.5,1,9277e4fa-e696-415e-b2e0-94dfd395925d,lyft_lux,Lux Black
1.4,Lyft,1.54E+12,Fenway,Back Bay,10.5,1,9799b1e2-f62a-45c9-8326-ccbba69994af,lyft_plus,Lyft XL
1.4,Lyft,1.54E+12,Fenway,Back Bay,27.5,1,bac0c1d3-2bd0-4bd9-aabc-a18d1d5bf6bc,lyft_luxsuv,Lux Black XL
1.01,Lyft,1.54E+12,North Station,North End,16.5,1,1a2cacd5-b9e8-4b2e-b27c-19e7144f10ee,lyft_lux,Lux Black
1.01,Lyft,1.55E+12,North Station,North End,7,1,4d0ebe87-60d1-43ad-86e3-e06550857e1d,lyft,Lyft
1.01,Lyft,1.55E+12,North Station,North End,5,1,6b5c1ecb-3216-445f-96f7-fc9694364a0a,lyft_line,Shared
1.01,Lyft,1.54E+12,North Station,North End,13.5,1,8e5b8d23-f08a-4301-bfc4-26d624585214,lyft_premier,Lux
1.01,Lyft,1.54E+12,North Station,North End,27.5,1,9afde07b-18e7-4889-94d7-1e15810d9b56,lyft_luxsuv,Lux Black XL
1.01,Lyft,1.54E+12,North Station,North End,10.5,1,f8ab1b64-d303-4001-b554-4057ba0bfedf,lyft_plus,Lyft XL
